,userid,commentid,username,content,timeStr,likedcount,hug,replycount
1,3696091449,5905366378,七七_wv,找个男朋友一起听歌呀！,昨天15:53,1,FALSE,0
2,2088397915,5904275469,Crystaaaal_,我真的好喜欢你…..你很快就毕业了…..我觉得在你毕业那一天我会哭死的….我舍不得你….我不想那么快就开始异地恋….要熬4年啊….这大学4年什么都可以发生….但我最怕的是分手,3天前,0,FALSE,0
3,8387938116,5904261776,Fittpyiw,我在等她，你在等什么,3天前,0,FALSE,0
4,440509872,5904094276,开车请加满油,闭上眼，我也想拥有属于自己的幸福。,4天前,0,FALSE,0
5,2087829950,5904024251,离庭晚,有那么一刻喜欢过你不过看现在的你不喜欢了因为你变得让我更喜欢了,4天前,1,FALSE,0
6,6285775451,5903768646,毒药可可,好喜欢你,4天前,0,FALSE,0
7,338712207,5903404195,长眠于星河,真的不错,5天前,0,FALSE,0
8,1356593163,5901358773,Run物无声,这是送给我家宝宝的歌,5月4日,3,FALSE,0
9,8533546042,5898759859,我是檩_3olb,真好听了,4月29日,1,FALSE,0
10,607285561,5897768222,加糖不要米,你是上帝送给我的礼物[礼物]@你笑--下嘛_fossette,4月28日,0,FALSE,1
11,374544933,5890195677,SIBYRH,有多少人是要听我喜欢的歌单被人工智障带过来的,4月14日,0,FALSE,0
12,272626973,5889822660,滴答丶滴,快跑！骗大家谈恋爱的！！！！,4月13日,2,FALSE,2
13,559377025,5883529964,乜都某,把左手把右手大拇指→往这划←大拇指放这里放这里,4月5日,1,FALSE,0
14,1454802613,5883321460,白也__-,你永远是我心中的月亮，世上有谁能比你更漂亮。,4月4日,1,FALSE,0
0,565629789,5437885543,Raoi-,卧槽卧槽，回来了回来了,2021/10/15,141,FALSE,1
1,419179331,5437835356,ikk_d,又能听了又能听了[多多大哭]每次想听就只跑到全民k歌听,2021/10/15,169,FALSE,1
2,1684788288,5437814974,湫风随我意,时隔一年多终于又一次听到了这首歌是她离开后这两年我循环最多的歌了即使被下架一年多今天早上随机播放突然就耳机里传出来熟悉的音乐拿起手机一看失去的东西果然会从另一种方式重新回来爱情也会是吗她也会是吗。,2021/10/15,40,FALSE,0
3,1607927051,5437812862,Lemo_2022,卧槽！卧槽！卧槽！太开心了终于又能听了！,2021/10/15,27,FALSE,0
4,337004643,5437733349,小山雨,太好听了！,2021/10/15,9,FALSE,0
5,443985565,5437576178,落非凡,这首歌终于回来了，以前突然下架的时候只能在网站上听,2021/10/14,16,FALSE,0
6,443985565,5437574920,落非凡,这首歌终于回来了,2021/10/14,7,FALSE,0
7,1431337064,5437510929,L刘刘iu,终于回来了,2021/10/14,6,FALSE,0
8,262474326,5437401429,我想叫淡但是服务器不给,原來你也喜歡許嵩[流泪],2021/10/14,4,FALSE,0
9,495984909,5437402113,Jayleh,卧槽回来了,2021/10/14,3,FALSE,0
10,413349114,5437303686,忆楠桉,可以听了?,2021/10/14,3,FALSE,0
11,1525193080,5437266796,_54321__,终于终于终于能听了！！！！！,2021/10/14,3,FALSE,0
12,1431337064,5437263433,L刘刘iu,终于版权买回来了嘛,2021/10/14,2,FALSE,0
13,308139137,5437236113,sun小哇,开头好好听,2021/10/14,1,FALSE,0
14,566939102,5437225783,小黎今天情绪稳定,回来了,2021/10/14,1,FALSE,0
0,305034061,5905798020,你的大宝贝_tbqg,拜把子当兄弟吧,10:30,0,FALSE,0
1,305034061,5905777038,你的大宝贝_tbqg,哈哈哈(?ω?)hiahiahia,9:43,0,FALSE,0
2,3575016086,5905211894,vClj_ASmM,我總是喜歡翻我們的聊天紀錄感覺你又愛了我一遍我真的很愛你(;_;),昨天06:34,0,FALSE,0
3,2111394932,5905105417,用户2111394932,有人认为爱是性，是婚姻，是清晨六点的吻，是一堆孩子。也许真是这样的，莱斯特小姐。但是你知道我怎么想的吗？我觉得爱是想触碰又收回的手。,2天前,1,FALSE,0
4,593021238,5905034918,Cik-1-,就这样！,2天前,0,FALSE,0
5,3298225379,5905023488,夏夜等风,开朗是装的，懂事是装的，跟谁都合得来是装的，自信是装的，只有我自己知道自卑是真的，孤独是真的，难过也是真的。,2天前,1,FALSE,0
6,8548484040,5904954807,骑猪围观群众,韵律规矩，地④米,2天前,0,FALSE,0
7,566576775,5904892803,Cupid丶R,我却无法在你身边R,2天前,0,FALSE,0
8,389253940,5904823587,甜心噗噗,我的青春,2天前,0,FALSE,0
9,3401792041,5904726711,许苇航,好久没听了,2天前,0,FALSE,0
10,422301110,5904569329,橘子味-a,怎么办，还是喜欢你,3天前,1,FALSE,0
11,1645545228,5904569858,ToBeCoolNaNa,希望一切都好起来,3天前,0,FALSE,0
12,323903612,5904468952,阿凡达的万能螺旋蛇皮超级小辫子,刚刚开始下特大暴雨咯,3天前,1,FALSE,0
13,445620852,5904438453,KuJoJotaro_-,这歌也五年了吗,3天前,0,FALSE,2
14,269551412,5903568415,小梨不开心,从一开始你也一直都在纠结,5天前,0,FALSE,0
0,1659048799,5903863266,花开半夏_SuoM,还在忧愁什么呢？伤感的小孩想要妈妈抱抱，想要被安慰…→_→音乐?可以抚平心灵的创伤…???,4天前,1,FALSE,0
1,1629655618,5903140075,单晚_,你还在忧愁什么呢？,6天前,0,FALSE,0
2,1765422973,5903051896,无衣大大大,周大爷的词无敌,6天前,0,FALSE,0
3,55776203,5901620711,咸不李,@柒颗丸子这个歌词,5月5日,0,FALSE,0
4,421129769,5898576461,我一定飞奔向你,是爱嘛？还是不甘心？,4月29日,0,FALSE,0
5,318225908,5897731678,超级甜心大宝贝,嗯,4月28日,0,FALSE,0
6,1672933009,5896481223,我叫张大爷_ZDY,听花粥的歌会想恋爱的感觉[吐舌],4月25日,2,FALSE,1
7,1672933009,5896464761,我叫张大爷_ZDY,我能忧愁什么呢？现在什么都有了。还差什么呢？谁能告诉我？[皱眉][皱眉][皱眉],4月25日,1,FALSE,0
8,1966905496,5895957556,欤你厢见,想的多忧愁多不想好像麻烦在找你,4月24日,1,FALSE,2
9,4979836537,5895284834,小孩治,粥大爷我喜欢你我叫楚奇,4月23日,0,FALSE,0
10,2135691715,5888448052,斑马还没睡_JY,打王者输了两吧，都遇到同一个人在对面，他个sb还嘲讽我，烦死了,4月11日,1,FALSE,0
11,1833575510,5871769651,刘鑫妤,就是,3月16日,1,FALSE,0
12,1921930710,5869435395,Flipped0307,快乐小神仙,3月11日,0,FALSE,0
13,1348305460,5869198060,-奕奕不乖-,评论两边向中间滑动会出现抱抱(づ??????)づ哦,3月11日,5,FALSE,1
14,1672140901,5860578162,Wanderingpoet1029,放下忧愁大胆去爱,2月23日,0,FALSE,0
0,3994846921,5905861782,09的浩-hao,不要忘了还有5月14号的母亲节哦.,27分钟前,1,FALSE,0
1,8550363795,5905837706,江怡_-tm,到底是我疑心太重还是我身边本就无真诚的人.,12:11,0,FALSE,0
