,userid,commentid,username,content,timeStr,likedcount,replycount
3,367922030,1183089390,627_,生日那天通过朋友认识一个女生，跟她聊起hiphop，聊了特别多的各自喜欢的国内外的rapper，最后我说我特别喜欢C-Block，问她知不知道，她说我就是长沙人呀。她说这句话的时候真的是满满骄傲和幸运的感觉。真的好羡慕她[呲牙],2018/7/17,5310,134
4,480435639,3454368204,长沙热心公益市民,国庆节要来长沙玩的外地朋友给你们点建议：见长辈叫老别见小辈叫细别这都是尊称是人就喊乡里别见到女的就说堂客见人就说宝里宝气他接话就说你要哦改咯这样很容易和别人打成一片屡试不爽,2020/9/16,3771,249
0,510572587,1526084781,邵帅,天黑了记得早点回家，我暖好了茶在家里等你呢啊。,2019/6/17,56940,849
1,510572587,1526148081,邵帅,特别想劝你早点睡觉，虽然我现在也在失眠。住在云村的人，听会儿歌就快睡吧，晚安好梦。,2019/6/17,50759,595
2,530780052,1526280804,你要往哪去呀,自古表白多白表，从来情书难书情。笑谈少年多年少，常与生人道人生。,2019/6/17,49800,536
3,1711802332,5264464076,Sr_Guo,朋友们。我回来了，我娶到她了！！,2021/3/16,21216,2325
4,1695851481,1526141202,郭贼丑,人生就是一次次幸福的相聚，夹杂着一次次的悲伤的分离，我不是在最好的时光遇到了你，而是遇到了你，才有了这最好的时光??,2019/6/17,12896,83
0,51168447,15210006,紫沐雪瑶,快乐星球第一部里最小的孩子冰柠檬是95年的，当知道这个的时候真吓了一跳。为什么明明是我比较小，却有一种看着她长大的感觉…,2015/4/14,43757,256
1,51758135,12019116,_清汤白米粥,那时候乐乐是男神阿，,2015/3/6,27572,142
2,17919984,64991267,深海蘑菇鱼,那时候看快乐星球有一个不能吃田鸡的故事，说要保护青蛙，不能吃它们。结果我为此给离家最大的超市卖青蛙的地方写了封信，让他们不要杀害青蛙..青蛙是我们的好朋友神马的.....,2016/1/25,27148,576
3,107309120,642956205,_Nhh,第二集班长难当，，，乐乐扶着过马路那个老奶奶，，，是我外婆??,2017/12/16,20003,255
4,128541993,66481746,记忆童年总是伤感,丁凯乐这版本最经典，其他版本没意思,2016/1/31,17077,188
0,1322781389,1428091928,ooomg23,杨和苏还是那个杨和苏[这边]?♂?张馨月还是那个张馨月[这边]?♀?低调组合还是那个低调组合[禁止]?♀?[禁止]?♂?他们没有变没有散没有忘记组合他们只是换了一种方式做音乐给我们不就是低调一点嘛我们怕什么我们可是低调组合的粉丝啊！！??♂?,2019/3/23,22168,177
1,1308451678,1428345293,戀困症w,第一段是女朋友的话第二段是父母的话第三段是自己的话对吗,2019/3/23,17175,249
2,1919415060,3217060293,老樊的隔壁老王,叫你别老和法老玩，你看卡不上拍了吧,2020/3/21,7479,180
3,484929296,1533131254,bank170513,第一段是杨和苏站在女友的角度表达对杨和苏对说唱热爱的不理解，第二段是父母，第三段是他的内心独白，即使女友是女友的离去和父母的反对如此大的阻力摆在他的面前但杨和苏还是坚持了下来，这首歌在我心里NO.1,2019/6/23,5135,27
4,1309751990,1590946413,帐号已注销,我听hiphop但我并不懂什么是hiphop当我听到这首的时候心想这大概就是了吧,2019/8/11,3218,17
0,34794065,8711490,库林林,在我心中，日漫三大国唱精品:光能使者，四驱兄弟，迪迦奥特曼！,2015/1/14,52754,722
1,34999706,133516851,饭饭toYou,大地渐渐苏醒，一丝晨光打破了夜的寂静。曾经把这句写进作文被老师表扬说我写的好[奸笑],2016/3/24,52203,507
2,3303382,17848186,牛牛骑士守护兔兔崽崽,大古：“即使人类心中永远无法磨灭掉黑暗，我还是相信，凭着自己的力量，人类一定可以为自己带来光明的！”大古：其实每一个人，都能靠自己的力量变成光的！大古：这个世界，由我来保护！,2015/5/10,35014,260
3,111791862,60954184,程晓春5201314,小时候花了1百多买了个神光棒结果不能变身老板说我的光能不够，于是我就去太阳下站了一下午结果你猜怎么了，,2016/1/11,25982,789
4,38235421,9839582,Jer-Chan,其实每个年代的孩子都有属于他们自己的回忆，不必一味地批判[可爱],2015/2/1,18626,57
0,630414342,1337078445,双层芝士汤姆,Daladidi~圣诞快乐！,2018/12/25,15338,215
1,1537338753,1337112818,冬戏,如果有一个白胡子的老头，把你打晕了装在麻袋里，别害怕，因为我的圣诞愿望是你。,2018/12/25,10792,66
2,1372452012,1336922298,十千竹,小时候，总相信那些美丽的雪夜传说，相信圣诞老人会悄悄经过我的窗口，在袜子里塞上厚厚的圣诞礼物。长大了，我遇见一个圣诞王子，他在我的床头唱了一曲最美妙的歌，给了我一个最棒的圣诞礼物，让我拥有这难忘的夜！夜之三部曲，在这样神圣的时刻完成了，让我一瞬间回到了孩童时刻，欢呼雀跃，欣喜不已,2018/12/25,5052,12
3,616010224,1336924319,我不叫深深诶,圣诞老人今晚就会到来驯鹿拉着雪橇飞过云层的高台雪松树下堆满礼物和彩带我的愿望清单里全都是对你的告白,2018/12/25,3962,9
4,394781544,1336977582,yeungchungyiuuuuuu,?爬进烟囱不小心掉下来了，不好意思地挠挠头把圣诞夜的信件交给你，信上写着：????????????????,2018/12/25,3424,15
0,113078871,1600051692,嗯我好想你,我愛了整個宇宙為了和你碰頭,2019/8/18,99463,574
1,603074390,1599657197,是屁三呀,农夫山泉有点甜，不爱兰博有点悬,2019/8/18,66424,395
2,542844935,1600249118,衝浪冠軍,你愛了整個宇宙為了和我碰面,2019/8/18,53782,169
3,74344414,1599974263,金宇晨Yates,听的想谈恋爱……算了，那就多听几遍吧,2019/8/18,36597,168
4,1629955157,1599674758,籽云不住紫西,嗷～兰博发歌耶！2019-8-18祝我生日快乐！我的心愿是希望可以和喜欢的人去听你的现场！,2019/8/18,14787,220
0,404681532,1332226280,记得晚吗,我支持同性恋，我理解抑郁症，觉得有纹身的小姐姐超酷！我知道捐献造血干细胞不需要忍受很大疼痛，我会喂楼底下的流浪猫，会给老奶奶让座位，会对店员说谢谢……纵然，我自私，我贪欲，我贪权，我贪钱，我贪恋这世间所有人们鄙夷并且崇尚的罪恶，但我依然，想努力地成为一个温柔善良的人.,2018/12/20,83294,860
1,133248409,1089114636,小炒丝,失了眠的夜，是最纯粹的安静，希望大家听完这首歌可以睡个好觉?,2018/4/18,35673,280
2,356140919,1089457017,L1_Ru1,每个在我失眠的夜晚陪我尬聊的人我都会永远记得??,2018/4/18,26870,195
3,424311909,1315666447,腿白,我真的醒了确定我们真的不行了,2018/12/2,20825,168
4,625272404,1280989414,三千世界鸦杀尽与尔共寝到天明,在所有失眠的夜里我最想你,2018/10/24,12224,33
0,95995562,695888669,秦才淞,你不要害怕。我不是什么好人。,2018/2/5,40309,548
1,413560923,696072768,橘猫猛于虎,一旦亲密起来我几乎是迫不及待地去暴露自己最坏最丑的一面像是在恐吓你看啊我就是这样的人并不是你期待的那么好你看清楚了还继续靠近吗你要无所畏惧地留在我身边就给你看我的全部不全是糟的也给你最温柔的给你最忠诚的。你想看吗你要留下来吗,2018/2/6,33276,472
2,554998869,1060244523,只求念头通达,你在网络上这么有趣，身边的朋友一定不知道吧,2018/3/21,24902,410
3,629019722,1051972017,轻哭,走到哪是哪死在哪算哪,2018/3/13,10300,125
4,318005359,701506302,_Aush,我这种人就不适合恋爱，因为爱会唤醒我的占有欲、控制欲、疑心病，也会勾引出我的狭隘、自私、敏感，然而这每一种情绪都足以令我和与我相爱的人痛苦，而且越爱越严重，所以为了避免害人害己的事发生，我会自觉远离不知情的爱慕者，也会默默疏远我可能爱上的人所以我在想我应该要孤独终老了吧,2018/2/10,9301,254
0,100227640,44244555,帐号已注销,橙留香，菠萝吹雪，陆小果，乱臣贼子，贼眉鼠眼，认贼作父，天下无贼，独孤狗。,2015/11/2,48469,381
1,258081107,201230030,为什么十级遍地走,陆小果是最早的段子手[大哭][大哭][大哭],2016/8/18,47318,282
2,92979460,220257658,云水疏月,[大哭]整个果宝特攻我只记住了一句台词，“我自横刀向天笑，去留肝胆两昆仑！”……,2016/9/26,37856,525
3,54973736,204960605,南漪小隐,其实我觉得这部动画挺前卫的，我好多流行语都是从这里学来的[大哭],2016/8/25,22043,62
4,60722883,52733503,您瞧简直俗透了,水果的腿最滑稽[大哭],2015/12/10,15306,196
0,82754103,1578919515,BuzzySun,两年前做完脏辫那一瞬间，我就立志我的人生目标了，我的后半生——————决不头香,2019/8/2,25260,735
1,361074824,1578885132,戴思蒙德,我一定要蹭到杨老师的热度决不投降,2019/8/2,10387,49
2,252843999,1578926623,Lil-Boo_Re8el,我一定一定不能放弃热评决不投降,2019/8/2,4238,54
3,74344414,1578904710,金宇晨Yates,没人在乎你怎样在深夜痛哭，也没人在乎你辗转反侧的要熬几个秋。外人只看结果，自己要独撑过程。等我们都明白了这个道理，便不会再在人前矫情，四处诉说以求宽慰。,2019/8/2,3642,22
4,455603972,1578863490,__Duchess,“我们这一代就是中国hiphop过渡期的产物，要学会妥协，做不想做的写不想写的。好让二十年后的小孩儿能不用再妥协，去做他们想做的写他们想写的。???”,2019/8/2,2768,42
0,52653481,18578025,林中有新绿,96大一，郑州大学，多面体就在我们学校，不过变丑了。,2015/5/17,88978,1169
1,44788710,140259378,Big_Monster,时间过的真快，当年的学霸艾克现在已经成了英雄联盟的上单霸主,2016/4/10,62087,501
2,55612153,70328556,爱jy真是太好了,知道这首歌的人现在大概应该在17-22岁这个年龄段吧，哎，童年啊[哀伤],2016/2/14,50497,2835
3,105937244,136980519,芋芋芋泥奶茶,慕容老师其实就是爱情公寓里的秦羽墨，[惊恐]知道真相我都懵逼了[大哭],2016/4/2,42566,235
4,25846584,15689535,莫橙子,当年看快乐星球时乐乐四年级，我也四年级…一转眼大二了…,2015/4/19,31173,105
0,64417827,1508400788,oakhere-,看乐队的夏天这首歌第一个音出来我就哭了真的很纯粹旋律很纯粹歌词很纯粹女孩的声音很纯粹在台上因为紧张表现出的青涩闭上眼睛唱歌的投入这些最真挚的东西反而最动人,2019/6/1,33797,407
1,454315158,1508421884,Hometown-01,“耳返你是习惯带双耳还是一只耳朵”，“我以前没带过耳返”，真的很青涩的俩个姑娘，多少人在她们身上看到了自己最开始的模样，哈哈?,2019/6/1,18991,74
2,72615374,1510255836,刘广威,九连真人和斯斯与帆彷佛是拥有原生力量的人[强],2019/6/3,17929,150
3,351271091,1508507520,温柔的小诗人,“你呀，你别再关心灵魂了，那是神明的事。你所能做的，是些小事情，诸如热爱时间，思念母亲，静悄悄地做人，像早晨一样清白。”——海桑《我是你流浪过的一个地方》,2019/6/1,13526,53
4,510572587,1509052237,邵帅,我第一次在场地里上台唱歌是在一家小酒吧，紧张到按和弦手打不开，也是手抖的弹不了，唱歌声音都超级抖，现在一步步向好的方向走。加油～[呲牙],2019/6/2,13310,143
0,41661050,22033669,seartna,其实这歌和电视剧都挺好看的，当时的时候可以说是这动画片算高科技了。而这动画片的结尾也挺好的，就像做了个梦一样,2015/6/14,75221,1226
1,78000176,68365391,清歌流笙,玄易子：已有的事，后必再有；已行的事，后必再行。狮王：在战斗中，谁都没有必胜的把握，可我愿意以生命来换取胜利的权利。蝎子王：如果我是弱者，那么请消灭我；否则，我必使你灭亡。,2016/2/6,48942,448
2,78000176,68356846,清歌流笙,火麟飞：在我面前，敌人不是逃之夭夭，就是一败涂地。龙戬：攻敌三分，自留七分。只有经过七重的孤独，才能成为真正的强者。泰雷：形神合一，攻敌一处。自由权利归众生。苗条俊：功夫再高，也怕菜刀。,2016/2/6,40544,327
3,78000176,68413136,清歌流笙,鲸鲨王：人的欲望，就如同高山滚石一般，一旦开始，就再也停不下来了。想让他们停下来，除非这些石头原本就在山谷的底部。,2016/2/6,30514,140
4,84237869,34074169,一只夜喵,觉得结局最精彩，世事变化，却逃不过轮回,2015/9/1,23517,109
0,78972034,1337689432,zzzZoO0,老规矩火了请你们吃饭,2018/12/25,97295,3504
1,78972034,1338456627,zzzZoO0,“所有的自以为都被称作直觉”Rap的开始就是大梦初醒的感觉其实......这首歌并不甜,2018/12/26,60970,425
2,1428141499,1457206040,小慧爱学习,是我隔音效果太好了否则你一定能听到我砰砰的心跳声隔着三千颗树六百条河?,2019/4/19,37470,238
3,107766066,1396553151,Jessi--Cat,和前男友在一起时我会因为他主动牵我而高兴，主动索吻时看到他眼中的犹豫。和现男友在一起，他那么内敛的人会在大街上主动大力把我紧紧抱在怀里，看不厌一般盯着看，亲了嘴巴亲脸颊亲了脸颊亲额头仿佛不知道怎么表达内心的喜欢。所以你看，真正喜欢你的人，藏都藏不住。愿大家都爱一个值得的人,2019/2/19,35897,993
4,634414017,1341180287,积恋,环游了整颗星系，找不到比你更亮的星星,2018/12/29,27686,301
0,499372505,1495597098,Asdff-,之前在微博上最期待的就是这首歌听了一两句话就狠狠的抓住我的耳朵了太为你骄傲了！！高质量发歌boy??二十岁要更开心哦,2019/5/20,42906,198
1,409145678,1495699351,祝我下次落泪是因为太快乐,你去中国有嘻哈的时候我就特别看好你后来你第二轮就淘汰了我都替你觉得可惜后来通过偶像练习生再次出现在了大家的视野里脏辫的你也很帅我也觉得你一定会出道的后来你出道了一直到现在参加的综艺节目我也几乎都追了也发现藏在你酷酷外表下那颗柔软可爱的心和有趣的灵魂你未来一定可以变更好,2019/5/20,33317,147
2,1622962481,1495752668,凌晨思夜,“当你穿过了暴风雨，你就不再是原来那个人。”–村上春树,2019/5/20,28998,86
3,436192799,1495952519,每天都有好多卷子,令我特别感慨的一点，他能被偶像的框架击倒一次，却能继续保持他自由的羽翼——比地下rapper有少年气又干净，比传统爱豆又多一点叛逆野蛮。偶像元年催生了几百个新生的爱豆，我始终认为小鬼是其中唯一一个天才，针对音乐来说，这是个天赋型选手。,2019/5/21,24729,286
4,496464142,1495730007,贩凶,王琳凯是我唯一的救赎,2019/5/20,16835,95
0,30938400,57417851,斯达奥利梅,南宫问雅，中国第一萝莉，谁不服？,2015/12/29,105352,1556
1,96240974,67273170,樱花班的新兰,《神兵小将》、《红猫蓝兔七侠传》、《恐龙宝贝》、《围棋少年》、《龙娃凤娃》、《宝莲灯》、《中华小子》、《神厨小福贵》、《舒克贝塔》、《小邋遢》、《没头脑和不开心》、《威威猫》、《大脸猫和蓝皮鼠》、《蓝猫淘气三千问》、《天方夜谭》、《神笔马良》、《阿凡提》…童年国漫记忆～求补充！[爱心],2016/2/2,54480,5491
2,61014456,17448141,该昵称已过保质期,到年到处都卖里面的武器，塑料的[大哭]我买齐了,2015/5/6,52546,458
3,126529068,146500805,文晗巴扎嘿,我小时候总以为这是问雅唱的[大哭],2016/4/26,31457,371
4,56941898,17073936,梨斗斗Ritoto,每次片尾曲出来就知道每天两集又没了！,2015/5/3,21456,51
0,44243646,6602362,帐号已注销,居然是孙楠唱的[惊恐],2014/12/2,69010,156
1,9713014,7599325,张张张大大炮,记得有次喝醉了就在大街上狂吼这首歌！,2014/12/25,61802,443
2,45583619,11383690,Alicia_z_m,妲己和纣王是真爱从小就教育我们要相信爱情[流泪]这个算是我偶像剧的启蒙里面好多CP,2015/2/25,46081,323
3,34589503,7588375,好吃不过韭菜饺,小时候最不想看的动画，因为前半部分哪吒被龙王冤枉那段太虐心了，根本受不了啊[惊恐],2014/12/24,32212,130
4,20385517,9373165,Addicted-朴孝敏,[大哭][大哭][大哭][大哭]居然这么多人听还以为只有我个神经病呢,2015/1/24,30335,100
0,1466104991,1553752499,杨和苏KeyNG,Shoutoutto山西的champion[强],2019/7/12,67609,1380
1,82754103,1553763279,BuzzySun,我佛了，这lilboo也是真的牛批，俺们杨和苏也一点都不差，是首狠歌,2019/7/12,29093,340
2,252843999,1553738429,Lil-Boo_Re8el,Fighttilltheend!!!,2019/7/12,21465,423
3,1577453832,1553723283,帐号已注销,杨和苏这首歌真的炸了管你来自哪个流派不妨一起上,2019/7/12,18312,460
4,556218311,1554193013,片桐柚子汤,看了五集新说唱，flow没学会多少，有钱花借了三万,2019/7/13,15612,353
0,484931905,1110315793,最最最最最最咩咩的领头羊,最近有点想恋爱了太可怕了我要出去多玩玩喝喝酒打消这个念头,2018/5/7,52504,541
1,1447873568,1204256951,Kyra_Imr,除了外卖和快递什么都别等,2018/8/4,40688,461
2,483962544,1192363139,泷泽萝拉老师,不要贪恋没意义的人或事拎着垃圾的手怎么腾得出来接礼物???,2018/7/26,20835,55
3,318516320,1052872246,大喜刘大喜,“花开就会花落，享受这绽放的过程就很美了”对于以前的所有做个总结，然后继续努力生活。和@恶梦Yk满意的一次合作[胜利]我们的第二首歌还在努力研发中?晚安～[可爱],2018/3/14,19226,66
4,577474483,1201238118,礻阝月,人有时候很奇怪互相想念却又越走越远,2018/8/2,18643,56
0,8000282,5219208,贾宏声,奔腾变成了酷睿windows98变成了win10我这个小屌丝变成了老屌丝朴树也成了朴师傅时间就是一把猪饲料,2014/10/27,37556,355
1,3092825,46969890,麦田里的昜,朴树你骗人，以后的路充满痛苦，新世纪一点也不酷！,2015/11/15,34637,519
2,33329344,6158216,放风筝的ZORRO,反而觉得这样更有韵味了，无限怀旧的感觉,2014/11/22,17828,106
3,44110505,370454942,EdwiinLiang,那时候上微机课要带鞋套，还记得我总是喜欢扣鼠标下面的球。金山打字通？青蛙过河？打地鼠？金山画王？警察抓小偷？,2017/5/1,15166,649
4,517298887,5347904686,放肆的青春__,第一次听到这个歌竟然是2021年,2021/7/3,13238,329
0,551862945,1455511246,嘴一个儿叭,”我很喜欢春天因为春天的你穿着裙子让我迷上你想把星星都放到你的裙摆我会做到因为我为你做事没有底线”,2019/4/18,17462,68
1,1455508032,1455472259,尹咧,最美的两行情书作词：朱星杰作曲：朱星杰,2019/4/18,12504,53
2,351705617,1455621929,_yuyuuuu___,“春天有梅子味的晚霞和两三颗啤酒味的星，以及一勺浓郁的风，冲开少年草莓味的心事。”?,2019/4/18,9714,32
3,1428024418,1455481693,liu奕心丶愿为君,已知：仙女→从不会哭（会哭→不是仙女）我→会哭我→会哭→不是仙女得出：我不是仙女所以仙女有的情书和龙珠我都没有?^?不过没关系呀，在春天安心的听春天的歌总有一个人，会穿越春风夏日秋雨冬雪，在某天悄悄到来把你变成仙女呀??.??,2019/4/18,7485,82
4,626316617,1455817738,芝士炸鸡-,如果我15岁，我可以点甜筒冰淇淋给你，吃掉五彩的糖糖纸都留给你。如果我25岁，我可以写首春天的歌给你，消融冬天的泪和你一起欢喜。可惜我5岁，我什么都给不了你，明天还要上幼儿园。只是就算这样也好想你,2019/4/18,7124,46
0,56656938,13459332,龙吟沧海丶,童年的回忆：奥特曼，数码宝贝，虚幻勇士，猪猪侠，快乐星猫，憨八龟，神兵小将，战斗王EX，火力少年王，虹猫蓝兔，蓝猫淘气，秦时明月。到了现在我已经不想看新的动画了，满满的都是回忆,2015/3/25,15801,366
1,5765971,9188504,半价桶,[吐舌]就因为这部电视剧买了个双钻的溜溜球,2015/1/21,9994,162
2,46296275,8230179,光听旋律,很喜欢这首歌的歌词，从小学到现在大学一直记得，遗憾的是没有一起许下承诺的人。,2015/1/5,7158,50
3,62649647,32073760,冻结梦境的递归,现在这些小孩看的火力少年王都是什么鬼[皱眉][皱眉],2015/8/21,6380,134
4,9643775,48388559,和音kazune_,第一季做的深入我心，搞得第二季看到米莉和李非成了对手之后，我对第二季的女主欧阳意见超大。,2015/11/21,5106,71
0,365430434,1312560594,BBBigYear,我写这种歌……全靠做梦,2018/11/29,92926,1931
1,515785946,1362862138,元气星球,老子要是喜欢你摇骰子的手都能给你织围巾,2019/1/20,62327,1405
2,100018999,1312909321,帐号已注销,一定要找一个视你如宝的男朋友他得满眼都是你才行???,2018/11/29,39530,441
3,625272404,1351165012,三千世界鸦杀尽与尔共寝到天明,你单身我单身不如我俩去结婚,2019/1/8,22194,153
4,1313651007,1385155799,吕xiao胖,老子充满烟味的手也能洗净，喂甜甜的糖给你吃.,2019/2/9,17621,252
0,34115213,6019087,Ginsang,童年回忆不在乎音质！,2014/11/19,69568,446
1,52321302,15639050,Creator----,这个就有话说了，记得那时真是全民热潮啊[惊恐]身为一个男生你不会悠悠球都被鄙视！当初买了很多5块10几块的普通球，不敢跟老妈讨钱买，同学拿的火力银电V啊[惊恐][惊恐]后来买了个火钻，是最棒的一个了[流泪]不说了，哭了，，，,2015/4/19,51337,760
2,5557424,18077488,蔡蛋蛋,小时候因为听了这首歌，玩悠悠球太high，打烂了家里的电视机,2015/5/12,43725,413
3,79024303,123133760,一百年千火,给小姑娘表演闪电快打给小姑娘牙打掉了。,2016/2/24,34740,258
4,61270002,33379034,MIO丶MIO,火力种田王的不是一个人[开心],2015/8/27,21168,107
0,61504220,1527212487,你看着我的眼睛再说一遍,能多“嘟嘟嘟嘟嘟”一会吗？,2019/6/18,109475,858
1,1455435543,1540276372,一棵葡萄苏a,你永远不知道一个表面淡定的女孩子耳机里放的是什么歌,2019/6/29,94574,845
2,1401135350,1555364055,傲娇老年_Vk,我这宝藏歌曲就这么被王耶啵的粉丝找到了？？,2019/7/14,51043,595
3,253326100,1573455775,Azir37,第一遍:什么玩意第二遍:幼稚第三遍:？第四遍:嘟嘟嘟嘟嘟嘟,2019/7/28,44459,349
4,132940104,1533709280,_Max_M,我男友，一直想买个狂拽炫酷的摩托。因为担心他的安全我一直不同意，为此他变着法儿的跟我软磨硬泡了很久，就刚刚，他分享了这首歌给我[大哭],2019/6/23,41000,574
0,51948569,1607077573,不善言辞cz,在各种场景，梁博一直都沉稳，压得住场，淡定，高级，帅,2019/8/23,27217,324
1,489181849,1607764384,tz西瓜兔子,1.新秀唱的很炸2.梁博和新秀是互选互选懂吗3.既然不想听可以离开这听原版偏要把这搞得乌烟瘴气？,2019/8/24,16615,423
2,402065966,1607210825,Ten丨Dron,虽然我之前不怎么喜欢听新秀的歌，但这首跟梁博合作的《表态》是今晚全场最好听的歌，真的好听!,2019/8/23,8979,113
3,1529156680,1606973384,雾后淋雨,新秀就是表态一下，battlemc也能冲到总决赛。,2019/8/23,6349,125
4,1814395049,3347306022,茉沏时代广场,这歌最大的败笔可能就是新秀了,2020/6/18,4160,500
0,32171816,12471340,贰号,哎，喜羊羊都10年了，不得不承认我老了，,2015/3/12,85237,1792
1,89557921,49088888,德智体美喜羊羊,虽然喜洋洋偏低龄弱智。但是虎虎生威是一个不仅搞笑、有创意、特别是立意非常深而且很棒的剧场版。——环境保护、人与自然和谐相处、生物进化、弱肉强食、众生平等、全球一家、和平与战争、爱情与家庭……好多话题可以在里面找到。牛年与兔年的还过得去，可龙年的实在看不下去能换回原来那个编剧吗,2015/11/25,60915,1306
2,76412344,23484951,难记得,听着伤感的歌，忽然这首歌蹦了出来。吓了一跳[大哭][大哭],2015/6/24,42546,453
3,310886124,440855076,seaBreeze海风1,当时最流行的一句话:画个圈圈诅咒你，现在的孩子估计没多少个知道这句话当时有多流行,2017/6/16,32332,819
4,18627305,11035317,PhoebeDhc,大白菜鸡毛菜通心菜油麦菜~5年之后.这首歌终于跟羊年碰上啦~春节快乐!!,2015/2/19,19367,142
0,52617984,440622014,张张张小迪,大学时坐一夜的火车去看音乐节，然后挤在陌生的人群里狂欢两天，又赶着连夜的火车跑回学校上课，总觉得自己有用不完的精力，也总觉得这世界精彩的可以。以为毕业后能更自由去更多的地方看更多的音乐节，可现实是连去个同城的livehouse都成了奢侈的事儿。打包那些闪光的回忆，总有一天我带它逃离。,2017/6/16,17687,244
1,137632328,440594298,OneCandy-,一年前很爱很爱逃跑计划，听一万次悲伤听了一遍又一遍，学吉他后第一首会唱的歌，现在逃跑计划变风格了，我也长大了??希望能成为自己希望成为的人～[开心][开心],2017/6/16,14323,47
2,248162703,449975930,東远_,愿生有去处，我是生，你是去处。,2017/6/24,9317,35
3,369281513,440653607,反射弧只有一辈子那么短,我以前以为逃跑计划是类似义工旅行的一种项目……,2017/6/16,6752,37
4,112075345,440658535,杨海河,没有计划的逃跑，是对未知世界中艰难险阻最固执的反抗。从初中就开始听逃跑计划了，听到自己上大学，组乐队，然后再看着自己的乐队解散。不管过去的日子怎样，总归是有着闪亮的回忆吧?,2017/6/16,5042,5
0,336218450,383459151,麻辣鸡呢_,高考不努力工地做兄弟,2017/5/15,18400,275
1,351047007,353134786,万能的李制作,谢谢大家[大笑]月底会更新这首歌的新版。,2017/4/10,16994,54
2,286496626,600152911,杀死消极,要是没房没车，女孩子说喜欢我。我都不敢答应。她不懂事，你得懂。,2017/10/30,16198,338
3,136771655,452677852,出神的男孩,比如我这种人就不适合恋爱因为爱会唤醒我的占有欲控制欲疑心病也会勾引出我的狭隘自私敏感然而这每一种情绪都足以令我和与我相爱的人痛苦且越爱越严重所以为了避免害人害己的事发生我会自觉远离不知情的爱慕者也会默默疏远我可能会爱上的人相爱对我来说就等于相爱相杀,2017/6/27,7636,69
4,289868931,448499237,张苏晨sj,嗯，今天想离家出走，在小区门口被家人拦住了，经过一番劝说我的心软了下来，就在此时旁边的理发店门口响起了这首歌，听完我浑身都是干劲儿，决定必须闯一闯！于是后退两步挥了挥手，刚要说再见却被路过的一辆自行车撞倒了。讹了几百块钱去海鲜市场买了几只螃蟹与家人分享,2017/6/23,5386,31
0,249334467,177953740,Whiteeeeeeei,不知道大家有没有这样的感觉?少儿频道播放的动画片从没看过结局………[呆],2016/7/3,163901,3403
1,33716146,7970292,蓝莹彼岸花,那个时候的国漫片头都好听呢[可爱],2014/12/31,68088,400
2,37343629,9261420,顾挽安an,龙神勇士，开始还好，后来画风就犀利了[汗],2015/1/22,44250,158
3,132648066,164914839,Lpnish,好怀念小时候的少儿频道，动画梦工厂，银河剧场，动漫世界，恐龙宝贝在银河剧场播，小时候喜欢这部动画片。后来长大了，少儿频道也慢慢没落了，回不到以前躺在床上等小鹿姐姐和鞠萍姐姐的时光了,2016/6/5,38408,409
4,41840270,181166239,浩纸一只,神兵小将的主题曲还是JJ作的曲王心凌唱的，秦时明月是胡彦斌唱主题曲，，，感觉那时候动画片都爱找很棒的歌手唱主题曲,2016/7/10,32093,247
0,289680693,1613835717,唐汉霄SeanTang,过两天就要开学了暑假作业还没写完好紧张高三要加油了?,2019/8/29,36158,1738
1,303483359,1613456886,帐号已注销,高三，最后一搏，我只愿高考过后无怨无悔！,2019/8/29,28835,1401
2,1409869750,1613450934,heartbreak,这歌跟韩商言一样让人上头,2019/8/29,25029,142
3,1475130250,1613472037,银河探案家,“过去两年零三个月，赢过、输过、笑过、哭过，被质疑、被绯闻、被非议、被黑幕，从未辩解，无需辩解。今夜华筵终散场，功成名遂，满目荒唐。”——韩商言?,2019/8/29,16810,68
4,361930670,1614220824,山川邀吻,半山腰总是最挤的你得去山顶看看啊,2019/8/29,11486,192
0,123337634,1603280140,谁衣袖轻拂,寅子，天津卫人，绰号海猴。著名日常学家。做过教师电工司机打手律师黑涩会，360行，行行出寅子，环游过世界，曾与日本著名黑道大哥桐生一马为宿敌。先后战胜过日本著名妖怪海坊主，玄冥二老，曾在足球，篮球，UFC，WWE格斗等著名赛事培养多名传奇选手，后化名苏哥打入东监区内部，人称津门虎寅子。,2019/8/21,29720,899
1,87518335,1603293054,暗杠小发,这是和寅子说书人之后的第二波新歌[可爱]，今年的《走歌人19》巡演也已经开始售票，欢迎来现场听歌～多谢支持！,2019/8/21,29190,629
2,275176857,1603286450,1998stan,这个时间发太有感觉了，kenshi这一季也正式完结，直播间里放着这首，长毛大个大聪明寅十三郎露露在奔跑行走，陪伴着我们这么久，他们也该休息了。老黑安息，希望你来生幸福安康，死了不要站立在别人头顶。,2019/8/21,9982,162
3,258308628,1603316922,顺流逆流-zgk,60岁的寅大朗就坐在那里，深情的目光望过去，都是自己20岁的身影......最成功华语乐坛歌手，8座格莱美音乐奖杯，15次腹肌健美赛冠军，累计送出10万部iPhone。天津游戏展最后狂欢，游戏达人的最后一次演出......当烟花升起的时刻，那个曾属于CSTG的时代不会随年华逝去。,2019/8/21,7844,122
