"","content","评论时段"
"339","有人问：“分手了那么久还记得你的前一任么？”怎么说呢，记得显得太花心，不记得，显得太薄情。其实我觉得，那个人就好比我走路撞上了一个电线杆，很痛，以后我走路都会绕着电线杆走。可能很久以后，我都不记得撞得有多痛了。可是，那个电线杆，永远都在。","早期"
"340","我依然清晰记得跟你说过的话，跟你聊过的事，我记得你对我的评价，记得你说的玩笑或者是真话。我记得你跟我说过的第一句话，也记得你跟我说的最后一句话。我记得你跟我说过好听的话，也记得你对我说过残忍的话，这么多的话我不知道我还会记得多久，你还会记得多久……","早期"
"341","预测一下听过这首歌的年龄范围：17-22！准不准[可爱]","早期"
"342","当年觉得张栋梁丑帅丑帅的","早期"
"343","妈蛋！我要哭了！好想回到那个年代，可惜再也回不去了???这首歌小学最爱/(ㄒoㄒ)/~~","早期"
"344","一直很喜欢这首歌，微笑pasta看了很多遍，那时候年纪小，对灰姑娘的故事很喜欢～百听不厌～","早期"
"345","何群最酷了，成晓诗真幸福了！","早期"
"346","不999+只是回忆让人不愿评论","早期"
"348","满满的回忆啊，当初点播台花了200多，就点这首歌，听爽了，被老妈暴揍一顿[流泪][流泪]","早期"
"349","我们95年前后的没人没听过没人不会唱对吧。","早期"
"350","小时候看mv只知道有个姐姐流鼻血了[呆]","早期"
"361","你看这道菜，群英会萃，要你老八十一点都不贵","早期"
"362","为什么这么脆他为什么这么脆","早期"
"363","下载这首歌不为别的，只想在开车的时候，让老爸听到当时的声音，老爸工作做太累了，我觉得当他听到这首歌，他会微笑，开心吧[亲亲][亲亲][亲亲]","早期"
"364","[奸笑]你看这道菜，群英荟萃，要您老八十，一点都不贵！过来看一看，亲口尝一尝！吃到嘴里特别地脆！如果你不相信你尝一块脆不脆[大哭]我吃了一块嚼在嘴里，确实它有点脆！[奸笑]为什么这么脆？[大哭]为什么这么脆？[奸笑]我现在问问你，它为什么这么脆？它怎么就这么脆？[大哭]它就是一盘大萝卜！！！","早期"
"365","以前小的时候，那时候女孩子都不会画浓妆，没有人烫狮子卷头发，那时候女孩子笑得很自然，笑得很甜很美。那时候很容易看到纯真的笑脸。","早期"
"366","有时你像是阿斯匹林治愈我的病有时你更像是福尔马林我都死了你还浸没在我身体的每一寸地方","早期"
"367","似王菲似张悬似陈绮贞，但她是陈粒。","早期"
"368","陈粒唱出的是所有女孩子羞赧表象下赤裸裸的渴望。爱的常态就如此。一颗颗寂寞的心，躲在被窝偷偷听这民谣界的女流氓。[口罩]","早期"
"369","有谁和我一样是看漫画《十二点的灰姑娘》来听这歌的嘿嘿","早期"
"370","曲调有些张悬的味道。配上词却在柔软里透出强硬和霸气。就是这样，柔弱的我要占有你。占有你干净的心，温柔的声音，和完美柔软你的身体。好像燃起袅袅烟雾，叫你醉，叫你为我沉迷。","早期"
"371","记得祝星转过一条微博，说，“你站在万众瞩目的台上，我在人群看着你，只有我知道，虽着正装，你却穿着小熊袜子”可惜那个知晓秘密的人不会再是星星了","早期"
"372","陈粒，我敬你是条汉子","早期"
"373","给最爱的人写一首以她名字为名的歌，是能想到的最浪漫的事情。","早期"
"374","陈粒劈腿分手后我就把《祝星》删了，想了想又把这首歌下载好，把陈粒的其他歌删了。","早期"
"375","就像陈粒还是离开了祝星找了一个男人，祝星从英国回来哭着看完了陈粒的演唱会再自己飞回去。没有谁是分不开的，没有谁是放不下的，没有什么是永恒的","早期"
"376","""""""你看到的我是蓝色的！""""阿凡达说道""","早期"
"377","当我的舍友半晚在被子里偷偷的打开电脑，那时我看到的他是黄色的[呆]","早期"
"378","让我想到《阿戴尔的生活》，英文电影名字直译为：无限接近温暖的蓝","早期"
"379","心情不好的时候总喜欢写一条便利贴“现在的我是蓝色的”然后把它贴在自己位置的桌子上。总这样习惯了，忽然有一天，我按照习惯又贴了一张，却发现便利贴又被加了一句话：“蓝色是海蓝色是天你不开心所有鱼儿所有鸟儿所有依海倚天而生的小生物都要陪你不开心了。所以啊，别不开心了。”瞬间感动","早期"
"380","真的很感动还有这么多人记得这首歌，感谢五年前的那个夏天这首歌带给我的感动，回忆，惊喜。李霄云，加油！期待你的新歌！","早期"
"381","初恋今天结婚了，我去了，没有尴尬，没有扭捏，大大方方的就去了，她还是和当年我看上她时一样漂亮有气质，一样那么温柔那么可爱。但是好奇怪我没有妒忌和不愉快，那一刻终于发现，曾经爱她是真的，现在的祝福也是真的。原来真的有由衷的祝福，感谢她那么优秀，我的青春没白过","早期"
"382","人删你的时候，系统不会告诉你，因为怕你伤心；你删别人的时候，系统会问你确定吗？！因为怕你后悔。","早期"
"383","我喜欢网易云这种边听歌边看评论的模式，让我知道懂这首歌的不止我一个","早期"
"384","有些人，遇见了就注定了要分开。我希望我们永远都是渐近线，而不是相交线。无限的接近总比相交一次就俞走愈远的好，你说呢？","早期"
"385","为了抱那一个人，毕业流着泪把全班都抱了一遍","早期"
"386","这才是魏晨应该坚持的风格[哀伤]感觉现在很少有好歌走韩风走得不伦不类看快本很感动魏晨值得更好的未来[可爱][可爱]","早期"
"387","原来这首歌是陆虎写的不得不说他很有才","早期"
"388","只准叫我疯子，不准叫我傻子[呆]","早期"
"389","网易神了，初中听的，现在大一了，时间真快！","早期"
"411","高中有一段时间疯狂迷恋这首歌，现在听还是这么好听[憨笑]","早期"
"413","没错就是这首歌，让我爱上刘心，从此无法自拔！","早期"
"414","那年快男因为这歌只喜欢刘心五年过去了今天突然在一个歌单里看到这首歌那感觉说不出","早期"
"436","中老年电音爱好者的福音?","早期"
"501","以前听这首歌的时候，我是一个处男。时过境迁。现在。。。我。。。。是一个老处男[流泪]","早期"
"502","早他妈火过很多年了！","早期"
"504","潘娜娜我的初中同桌当时我干了几件让你不开心的事初中毕业后虽然从没联系过到现在有八九年了吧在不定的时候总会想起你在部队生活久了有些封闭了但我想对你说我喜欢你也许你看不见也许你结婚生子了但我想把我对你的爱说出来愿你安好","早期"
"570","紫萱和徐长卿这一世变成了俩逗比！","早期"
"571","林海作曲，桐华作词，李琦演唱。三个人碰撞出的火花，很美。","早期"
"572","我觉得唐嫣和霍建华很搭啊，歌也好听","早期"
"573","我爱白豆腐和紫萱，也爱金元宝和玉麒麟，但再也不敢说我爱霍唐了...............","早期"
"640","原来原来你是我的猪大哥","早期"
"641","原來是唱給羅志祥聽的","早期"
"642","以前都不觉得像猪大哥，今天被你们这么一说，顿时觉得毁了…[惶恐]","早期"
"643","当年华语歌坛真是百花齐放，还有一批歌舞俱佳的歌手：李玟、张惠妹、萧亚轩、蔡依林、许慧欣、王心凌……现在舞曲都快绝迹了，都是些忧伤情歌","早期"
"644","华语house舞曲的典范之作","早期"
"900","手机唯一一首从没删过的歌[大笑]主要因为我就叫何珊[大笑]","早期"
"901","心情不好就听听这首歌，瞬间开朗，就想出去走走[亲亲]","早期"
"902","最后一句“只不过是河山大好”推翻一切","早期"
"903","15年广东高考，用嵩哥这首歌写的，高考成绩出来语文比平时多了20分，题目《河山大好》，结尾：河山大好，出去走走，别窝在家当懒虫[跳舞][跳舞][跳舞]","早期"
"904","七大古都，我大河南就占了仨！欢迎大家来河南玩耍[吐舌]","早期"
"925","高中的时候暗恋一个人，他却一直不知道。每天听这首歌都想哭。现在大二了，一晃两三年，感觉这种悲伤没有了，再也不是曾经的自己了。","早期"
"926","周日的九点，从床上爬起来，吃着不喜欢的大米粥，刷着老爸的诺基亚5230，听着这个大男孩的不分手的恋爱，用着老版本的旧版q音，省着用100M的流量，那年，我听的了某人，现在我听到了岁月。现在刷着智能大屏手机，却再也没有那年的心情。当我们得到的越来越多，却发现失去了最初的自我。","早期"
"927","以前高中早读课，别人大声朗诵背书，我躲在声音的掩护中大声对着我喜欢的她唱着某人和一切那个年纪的情歌，现在大三了，虽然异地，但我们一直爱着对方，从喜欢到爱，一直幼稚着、坚定着、努力着","早期"
"928","高二的时候我们分手，正好这首歌发行，听了一遍，好久没笑的我终于发自内心的微笑。后来高三我考了全校第一，躲在角落里，只想知道当你看到红榜上我的名字时的表情。","早期"
"929","我的某人，你是离开了我，还是走进了我的回忆？汪苏泷的老歌不能多听，容易陷入回忆不能自拔。","早期"
"930","我们听歌的时候其实暴露的大都不过是小情绪而已所谓小情绪就是并不会对生活造成实质性影响的反正轨迹不会变是吧是我们是什么样的人决定了我们听什么样的歌而不是听什么样的歌决定我们是什么样的人^_^不要沉溺于小情绪之中乖啊。这一路时光温柔也好，坎坷崎岖也罢，总得向前——给自己","早期"
"931","李宗盛真混蛋，每首写给别人的歌自己都要唱，唱的比别人还好听。。","早期"
"932","2004那年的5月17号，我含着泪听了半夜，之后我再没有为爱情留下一滴眼泪。因为在感情的路上，人只能跌倒一次。","早期"
"955","90后有和我一样喜欢张信哲的吗","早期"
"956","吴昕在跨年泪奔的时候，有人说，那些不懂吴昕哭点的人不知道“偶像”两个字对某些人意义有多大。吴昕说张信哲的歌陪伴了她很长时间，开心或不开心的时候带给她力量。成功的追星就是为了他不断进化成更好的人，感谢每一个出现在生命中的偶像，你们是最清楚最坚固的信仰，是最温暖最勇敢的力量[爱心]","早期"
"957","10年冬天去天津打工，大年三十天津西站的空荡的网吧，一个四十左右的大叔戴着耳机不会打字，请求我帮他搜索张信哲的歌曲，然后给我讲了两个小时他看的所有的张信哲的现场演唱会，临走时我才发现他是个盲人，后来在火车上我在想这大概就是信仰吧。","早期"
"958","我见过斯斯文文的女生在外偷人的，也见过大大咧咧抽烟喝酒的姑娘坚守爱情的，见过穿西装打领带对着父母破口大骂的，也见过一身是纹身却照顾住院的长辈无微不至的，温柔都是装出来的，而人品和骨子里那份善良，却是装不出来的","早期"
"959","张信哲的嗓音自带催泪特技。","早期"
"960","人这辈子，最害怕突然把某一首歌听懂了","早期"
"961","小时候很讨厌迪克牛仔，觉得他长得难看，还有那头发，都是些什么啊！但是不知道从什么时候起，竟然觉得他的歌可以接受了。不仅如此，还有了些感悟。人都是会自我成长的。大学里选修过一门名为《小说赏析》的选修课，老师很有意思，说怎么看一个男人够不够成熟稳重，看他走路的姿态。","早期"
"962","我发现听歌都是男人[奸笑]，果然在感情了受伤的往往是女人，受重伤的却总是男人[哀伤]，女人哭的快，忘得也快，男人哭的慢，忘记的也慢，或许一辈子都忘不掉[心碎]","早期"
"963","当你认真谈过一段感情，最后却分手了，后来你会很难再去喜欢别人，你不想花时间也不想去了解。就好比你写一篇文章快写完了，但老师说你字潦草把作业撕了让你重新写一遍。虽然你记得开头和内容但你也懒得写了，因为一篇文章花光了你所有精力，只差一个结尾，你却要从头来过。","早期"
"964","从家里偷钱买手机，听到的歌，好有感触[大哭]","早期"
"965","没想到许嵩也已经成为回忆了，看来我的确是不年轻了。","早期"
"966","是不是听许嵩歌的一个个都上大学了[大哭][大哭][大哭]","早期"
"967","我记得是苏格拉没有底，后来高三，出来梦游计，觉得没有以前歌好听了，可能许嵩太想证明自己了，有些歌唱的很高，去年出了不如吃茶去，看淡了吧，但我还是觉得自定义和寻雾启示最好听，如今大二了，手机里许嵩的歌不多，但我想听的时候都是直接搜索，然后在线听","早期"
"968","对于许嵩，我表姐说，你还喜欢许嵩啊，我说，是啊，许嵩已经不单单是我喜欢他的歌了，而是变成了一种信仰","早期"
"969","林志颖娶了自己的粉丝陈若仪。钟汉良娶了自己的粉丝齐芳。刘德华娶了自己的粉丝朱丽倩。叶世荣娶了自己的粉丝许韵珊。周杰伦娶了自己的粉丝昆凌。王力宏娶了自己的粉丝李靓蕾，许嵩你过来我们谈谈呗[憨笑][憨笑]","早期"
"995","曾经，我的世界里只有三个歌王，许嵩，徐良和汪苏泷","早期"
"996","听周杰伦的歌叫青春，听许嵩，徐良，本兮这些非主流也叫青春，没有谁比谁的青春高贵，也没有谁比谁的青春低俗。音乐是最主观的东西，谁的音乐能打动你，能引起你的共鸣，谁就值得你喜欢。与名气，地位无关，甚至与唱功，能力关系都不大。","早期"
"997","高中时代的记忆了，高一的时候身边许多男生都会唱他的歌，每天晚饭时间都会有个男生跟我一起吃饭，他会分我一只耳机一起听歌，后来他跟我表白被我拒绝了。现在不再联系，戏剧的是他现在的女朋友是我高中很要好的朋友，打心里祝福他们，也谢谢他那些年给我唱的歌。","早期"
"998","就在这个学期，一个人去吃黄焖鸡米饭，中途端着碗去添饭，回来发现阿姨把我只吃了一半的黄焖鸡收拾走了。端着满满的一碗饭楞在原地好久，吃饭的人群有说有笑，来来往往，而我仿佛被整个世界抛弃。试问这种孤独谁能感同身受？","早期"
"999","我高中听的，大一的时候听这些歌的时候，室友说我品味低俗，某天，我一不小心看到他的播放器，发现他的播放器里面有《自由飞翔》","早期"
"1050","赶上公车，一个劲儿往后走，坐下来时发现拽在手上的钱没投。再去投币时，司机只是浅浅一笑，冬至早上好暖心…","早期"
"1051","在演唱会上听到的，就爱上了.","早期"
"1052","听陈奕迅的都是有故事的人。","早期"
"1053","现场简直堪比唱片。还是室外场。让我如何不爱你。","早期"
"1054","好难唱像打空拳用不上力","早期"
"1055","那段英文唱的真特么好听啊","早期"
"1056","隔了这么久听这首歌还是想吼一句李俊昊你中文发音好准啊！！！","早期"
"1057","拿来当婚礼现场用了[强]","早期"
"1058","好好听，怎么觉得戚爷跟谁唱都这么好听呢/","早期"
"1059","俊昊欧巴唱的中文歌很赞！[强]","早期"
"1065","当自己真正遇到喜欢同性的情况时不是那么容易说面对就面对的自己会胆怯也想告诉对方自己的心意但又顾虑到说出来她会不会认为自己是变态会不会不理我会不会告诉其它人把我当成一个奇怪的人……当种种推测从脑海里浮现后最后自己还是选择逃避是啊我选择逃避做朋友不也是另一种陪伴吗","早期"
"1067","她现在就在我身边?喜欢这么真实一点都不做作的姑娘。","早期"
