,userid,commentid,username,content,timeStr,likedcount,ip,time,ishug,replycount
1,64711274,40888682,LuvLetterL,鹿晗新单曲《勋章》由凭借美剧《吸血鬼日记》大热插曲「Unbreakble」红极一时，并担任天团 One Direction 的御用歌曲作者的 Jamie Scott 联合英国顶级音乐人合力打造大气旋律，更加入古典弦乐合奏再现海洋的磅礴气势。鹿式动人唱腔，演绎华丽的英伦抒情。,2015/10/15,39453,,1.44489E+12,FALSE,44
2,97983135,40962079,薄荷鹿,唱的是他自己，也是每一个满载勋章不曾放弃梦想的人，受过伤都是成长，不管未来的路有多漫长，都要带着勋章，再次启航。哥哥这张专辑的歌都很暖心很励志，听完真的就是笑着流泪啊，最好的你[爱心],2015/10/15,36731,,1.44489E+12,FALSE,29
3,44522842,40857859,Hxazgsja_,而你受过的伤，都是你的勋章。,2015/10/15,26600,,1.44489E+12,FALSE,10
4,75856910,67756639,M_ister_m,路人说句实话，原来对某团并不感兴趣，但是确实有意无意的关注鹿晗，看了几次大本营，感觉这孩子，永远都是低调的站在一旁，不爱出风头，后来的奔兄也是，永远默默的，永远很有礼貌，再后来，无意中听到了勋章这首歌，却不知不觉的天天循环播放，也不知不觉的关注起来了他，我想，发光总是挡不住的。,2016/2/4,20832,,1.45455E+12,FALSE,14
0,103045444,422783439,Eul斯拉,邓紫棋这把嗓子大概是上帝赐的礼物没错了，可性感可深情可高昂可低沉…为什么她唱起古风来也能这么缱绻惊艳，完美诠释了一个真正优秀的歌者真的什么风格都能驾驭，至今觉得只要是首歌从她嘴里唱出来就没有不好听的…毕竟这个人唱个爱情买卖都能唱的让人如痴如醉的(滑稽,2017/5/30,104787,,1.49607E+12,FALSE,223
1,330678861,422786877,Yuanerhe,没想到唱惯了高音爆音的邓紫棋，也能演绎这样的曲风，邓紫棋本身的声音是很带有金属质感的，金属质感的声音邂逅这般悠扬悲情的古风歌   却可以擦出多层次厚重感的火花效果，曲子其实一般，邓紫棋自身的演绎 自己的一些演唱技巧给歌曲增加了很多分，让人对这部剧也多了几分期待呢,2017/5/30,52734,,1.49607E+12,FALSE,111
2,297896343,423069251,is大白菜,"听雨书  望天湖  人情寥寥情难诉
邓思苦  凭谁诉  掩门扶栏思君嘱
紫庭花  皆繁华  遥遥不知君何处
棋散罢  桃折桠  奈何桥头寻人家
......
（明明是“听邓紫棋”突然发觉写太悲了[生病]）",2017/5/30,36858,,1.49611E+12,FALSE,188
3,79908889,422795487,原切芒果干,邓小姐继《蝶恋花》后再次演唱古风歌曲，第一次唱电视剧片尾曲，这副嗓子真是绝了，唱古风都这么惊艳，希望邓紫棋以后有机会能尝试去写一下古风歌hhh[开心],2017/5/30,17869,,1.49607E+12,FALSE,24
4,131313284,422874325,piupiupiu_hey,个人评价，感觉邓紫棋的嗓音让这首歌一下子高级了起来。否则，它只是普普通通的一首电视剧的影视原声而已。就像上面说的，为了歌去看电视剧，一首歌增加电视剧的热度真的很少。而且这也是邓紫棋为数不多的，没有参加创曲创词的歌，但是依旧唱出自己的味道。一个优秀的歌者[强],2017/5/30,15759,,1.49608E+12,FALSE,63
0,119103651,181903566,婄妳妗世,胡彦斌：“网友老是说我配不上郑爽，我也不算难看啊，我是靠才华不靠颜值。我做曲还是蛮屌的。[鬼脸][鬼脸][鬼脸][鬼脸]”,2016/7/12,72192,,1.4683E+12,FALSE,384
1,117920748,182431238,用户117920748,有没有不看老九门，仅仅是为了胡彦斌来的？,2016/7/13,49042,,1.4684E+12,FALSE,341
2,95967182,182842607,我爱平胸,老九门不是语数英史地生政么[呆],2016/7/14,46625,,1.46848E+12,FALSE,405
3,74101248,181516362,KillmyButterfly,太久听不到印象里胡彦斌的古风了 這一首竟仿佛让我听到了月光 听到了潇湘雨 听到了訣別詩 还有红颜 那些旋律的影子在主歌的铺陈副歌的凄转里重重叠叠地晃 更多了份别有的成熟和稳健 心想你还是这么会写歌啊 真好,2016/7/11,32162,,1.46821E+12,FALSE,28
4,77641325,185487710,流浪_丝瓜,“最美的是1元，最丑的是10元”。[呆][呆],2016/7/19,26881,,1.46893E+12,FALSE,243
0,10136786,46976569,心灵流浪者,艺兴一直以来的努力没有白费，现在无论在哪方面都有了很大的进步和发展，他的拼搏，他的坚持，他的善良终究还是得到了应有的回报。加油，艺兴，中国小骄傲。,2015/11/15,52014,,1.44756E+12,FALSE,63
1,86547053,53540291,keke_JH,总是有人认为艺兴单纯，傻 但其实不是的，越是单纯越是挂着笑容的人，心里藏的是更多更多的感觉。一个人来回飞往中韩两国，加上回归活动及粉丝和多人对他的期望，他承担的是多少，好累好累啊…一想到这个和听着这歌 又哭了? 你不是一个人的,2015/12/13,33718,,1.45001E+12,FALSE,71
2,54721781,52513028,D如果记忆不说话,看了极限挑战喜欢上他，很干净的大男孩，笑容很好看,2015/12/9,24142,,1.44967E+12,FALSE,124
3,127890385,65527065,金鱼大喵长颈鹿,"最美的三行情书
作词：张艺兴
作曲：张艺兴
演唱：张艺兴",2016/1/27,17104,,1.4539E+12,FALSE,100
4,100235406,47008653,TAETAE_LUV,看完而立24，才知道你的成功付出了好多好多，多少个黑夜是自己独自度过。一个人，听着听着就哭了。[爱心],2015/11/15,14711,,1.44757E+12,FALSE,9
0,247075250,183457971,程科倫,当骚的遇到辣的，爱情只需要33秒。当傲的遇到傻的，爱情却要等33年。,2016/7/15,31755,,1.46859E+12,FALSE,0
1,37451149,183705146,赏味期限-,就在昨天电影院里，你给我发了一张你的手机截图，我们的聊天记录，发现你对我设置了消息免打扰，所以我对你来说是个打扰。就在大家都笑的前俯后仰的时候，我哭出了声音，从头哭到尾，哭到散场只剩自己。只有这个声音一直陪我 会好的会好的。林洁帅，滚蛋吧！,2016/7/16,17458,,1.46864E+12,FALSE,0
2,58861084,183704376,Sayhi齐曼古丽,陆垚跟马俐在一起用了33年，赵奔和方灰灰在一起却只用了33秒。我一直觉得喜欢就要说出来这件事理所当然，33年太长了，是会憋死人的啊。可是当喜欢真真切切发生的时候，才发现只是因为想拥有你更久一点根本不敢轻举妄动。所以我只能再等等，等到了我有把握的时候再告诉你这个秘密。我很珍惜你的，真的。,2016/7/16,12612,,1.46865E+12,FALSE,0
3,103322815,184486691,Leehyun_,《陆垚知马俐》喜欢的三句台词： 生人变熟人容易 熟人变生人 可比生人更生分。 有些人有些事很多年后想起来比吃了死苍蝇还恶心 恶心透了。 爱能让你骄傲如烈日 也能让我卑微入尘土。,2016/7/18,10787,,1.4688E+12,FALSE,0
4,64788473,185983304,Becky丿丿,（陆）路过姚（垚）笛才知马伊琍（俐）最好   原来文章的新电影是忏悔录[大哭][大哭]。,2016/7/20,9364,,1.46902E+12,FALSE,0
0,67777485,185321851,黄雨篱,那一年术后躺在监护室里边，手里边攥着医生给我的一个麻药泵，疼吗？疼就按一下。疼就按一下，疼就按一下。直到术后第三天，泵里药挥霍光了，你才真正陷入恐惧之中。我想我们都注定逃不了麻药过后那些个半夜痛醒的夜晚的，我从来不相信什么遗忘，我只相信承受，承受，承受，康复。,2016/7/19,48769,,1.46892E+12,FALSE,147
